"DeviceN","UID","DeviceType","HydGrp","LandArea","MinFlowRate","MaxFlowRate"
"Recycle pump",50,7,1,1,10,10
"Pump 1",48,7,2,1,60,60
"Set 10",17,30,2,1,1,1
"Set 11",18,30,2,1,1,1
"Set 12R",19,30,2,1,1,1
"Set 13R",20,30,2,1,1,1
"Set 14R",22,30,2,1,1,1
"Set 15R",23,30,2,1,1,1
"Set 1R",59,30,2,1,1,1
"Set 2R",60,30,2,1,1,1
"Set 3",2,30,2,1,1,1
"Set 4",3,30,2,1,1,1
"Set 5R",4,30,2,1,1,1
"Set 6R",5,30,2,1,1,1
"Set 7",13,30,2,1,1,1
"Set 8",14,30,2,1,1,1
"Set 9R",15,30,2,1,1,1
"Pump 2",49,7,3,1,50,50
"Set 16R",24,30,3,1,1,1
"Set 17R",25,30,3,1,1,1
"Set 18",27,30,3,1,1,1
"Set 19",28,30,3,1,1,1
"Set 20R",29,30,3,1,1,1
"Set 21R",30,30,3,1,1,1
"Set 22",32,30,3,1,1,1
"Set 23",33,30,3,1,1,1
"Set 24R",62,30,3,1,1,1
"Set 25R",63,30,3,1,1,1
"Set 26",35,30,3,1,1,1
"Set 27",36,30,3,1,1,1
"Set 28R",37,30,3,1,1,1
"Set 29R",38,30,3,1,1,1
"Set 30R",65,30,3,1,1,1
"Set 31R",66,30,3,1,1,1
